id_venda,id_produto,id_cliente,data_venda,quantidade,preco_unitario
283,15,38,2024-11-06,1,544.2
284,20,23,2024-09-17,3,585.09
285,6,19,2024-06-16,3,174.68
286,25,187,2025-02-03,2,320.43
287,50,146,2025-01-02,1,107.37
288,21,147,2025-04-05,5,281.89
289,49,150,2023-11-29,1,28.85
290,41,87,2023-12-30,5,96.22
291,40,174,2025-05-14,2,182.8
292,37,174,2024-08-14,5,100.66
293,1,95,2023-09-30,4,347.62
294,6,44,2024-09-19,4,218.74
295,46,143,2024-02-05,1,189.75
296,32,121,2023-12-08,3,553.49
297,23,36,2023-12-30,4,504.79
298,38,177,2024-07-03,3,422.33
299,41,51,2025-05-16,1,97.23
300,14,101,2024-10-05,5,602.35
301,41,51,2024-08-20,3,101.28
302,6,140,2024-02-03,5,218.9
303,12,111,2024-01-02,4,43.0
304,11,16,2025-06-09,5,641.5
305,44,68,2025-05-22,1,407.46
306,27,159,2024-08-16,4,630.59
307,1,85,2023-10-05,2,371.19
308,9,31,2025-04-24,4,521.88
309,6,114,2024-10-31,5,162.55
310,43,52,2024-07-30,3,185.76
311,39,167,2025-03-21,4,549.06
312,9,175,2024-11-10,2,598.94
313,42,46,2023-11-08,2,215.18
314,50,190,2025-03-01,4,131.47
315,5,26,2023-12-14,4,370.61
316,49,84,2025-03-09,2,29.66
317,1,76,2025-07-07,2,399.75
318,45,158,2024-02-17,3,521.72
319,5,200,2025-04-20,5,318.16
320,21,168,2025-06-01,2,289.54
321,33,192,2024-08-01,5,654.11
322,27,126,2024-02-23,5,571.14
323,7,129,2023-09-10,2,65.88
324,35,70,2024-10-04,3,632.89
325,29,178,2025-08-16,3,717.44
326,40,133,2024-11-23,2,230.58
327,9,43,2024-12-25,2,568.85
328,48,8,2025-04-14,2,147.42
329,30,5,2025-04-04,1,528.88
330,32,11,2023-12-21,3,445.2
331,10,189,2024-09-10,5,661.63
332,2,170,2024-05-14,3,258.84
333,30,114,2024-06-05,4,472.14
334,3,17,2023-11-24,3,204.06
335,35,57,2025-01-25,2,653.68
336,3,130,2024-02-18,2,177.96
337,1,181,2025-05-05,4,459.72
338,47,153,2023-09-10,5,160.93
339,39,123,2025-03-01,1,583.09
340,48,16,2024-07-10,5,155.81
341,50,53,2025-04-05,5,105.85
342,16,52,2023-09-29,1,705.24
343,46,86,2024-02-14,2,163.53
344,26,31,2023-10-14,4,590.13
345,43,15,2024-06-11,5,240.79
346,29,165,2024-01-23,3,850.96
347,38,94,2025-08-13,1,371.09
348,9,172,2024-04-10,3,565.92
349,34,97,2025-08-27,3,35.22
350,42,97,2024-08-12,5,211.72
351,37,113,2024-12-13,4,112.09
352,5,68,2024-07-08,5,418.35
353,47,143,2024-07-03,4,163.6
354,24,197,2025-02-08,5,477.34
355,47,66,2024-06-07,1,196.13
356,24,58,2025-05-30,3,509.48
357,46,107,2024-03-20,2,202.88
358,24,43,2023-10-08,2,543.23
359,19,3,2025-08-24,4,364.72
360,16,115,2023-09-15,4,474.46
361,25,163,2024-02-04,2,370.69
362,20,25,2025-05-04,4,585.67
363,15,77,2024-07-18,1,595.15
364,9,145,2024-11-08,1,667.84
365,30,152,2024-11-07,4,433.17
366,19,36,2025-04-26,4,422.08
367,37,2,2025-04-12,5,111.12
368,50,166,2025-02-12,1,110.95
369,28,37,2025-07-01,2,344.56
370,13,151,2024-06-07,2,543.15
371,15,78,2025-06-16,1,663.25
372,19,42,2024-10-25,5,422.85
373,12,7,2025-03-04,2,33.42
374,22,69,2024-02-03,5,414.48
375,47,174,2024-05-28,4,218.17
376,33,127,2025-06-11,2,738.52
377,44,155,2025-08-06,2,341.86
378,4,38,2025-03-30,4,101.61
379,50,139,2024-02-08,2,106.56
380,38,140,2024-10-20,4,419.17
381,42,46,2025-06-01,3,231.73
382,49,115,2025-07-05,1,28.55
383,16,76,2024-04-06,2,583.09
384,44,161,2025-06-04,4,276.58
385,5,21,2024-10-21,2,444.26
386,45,114,2024-08-14,2,433.97
387,22,127,2024-05-09,5,523.71
388,7,153,2024-04-27,4,73.08
389,33,177,2024-03-14,2,621.31
390,50,158,2025-07-11,1,135.06
391,48,72,2025-08-13,4,139.83
392,39,83,2025-05-27,4,540.23
393,6,173,2024-03-01,3,153.46
394,41,27,2024-05-07,2,117.7
395,26,79,2024-11-18,4,676.93
396,5,141,2024-01-26,4,382.12
397,10,141,2024-11-08,1,653.21
398,2,10,2024-10-14,3,227.89
399,41,136,2024-10-02,3,101.75
400,13,85,2024-02-02,4,431.45
401,2,147,2025-06-08,4,266.52
402,18,193,2025-05-23,3,337.02
403,32,185,2024-11-07,5,399.32
404,31,128,2025-01-27,1,685.22
405,40,43,2024-10-19,4,228.89
406,29,47,2025-03-21,1,679.37
407,7,55,2024-03-09,4,52.75
408,43,132,2025-02-22,1,191.22
409,45,191,2023-10-08,2,426.77
410,17,148,2024-09-09,1,373.8
411,35,103,2024-02-09,2,588.5
412,43,65,2025-04-17,1,187.54
413,32,119,2025-07-29,3,448.13
414,17,119,2024-02-12,3,329.46
415,50,129,2024-10-22,3,148.02
416,18,42,2024-07-12,4,250.37
417,34,158,2023-11-18,1,35.69
418,33,177,2025-06-06,2,732.25
419,32,169,2025-07-26,1,514.34
420,16,2,2024-05-04,2,621.73
421,19,41,2024-02-15,5,399.79
422,27,111,2025-03-18,4,729.87
423,43,34,2025-03-07,4,184.57
424,45,108,2025-06-29,2,499.61
425,50,107,2025-04-17,5,110.34
426,40,5,2024-11-14,4,223.35
427,16,45,2025-05-08,3,696.82
428,13,57,2025-08-13,5,578.81
429,47,83,2025-06-07,2,224.66
430,38,75,2024-09-25,1,348.65
431,32,156,2023-11-29,2,489.83
432,5,137,2024-09-09,2,323.63
433,49,4,2025-05-07,4,28.54
434,21,50,2024-01-18,5,304.99
435,48,195,2025-05-29,5,128.11
436,19,27,2024-12-15,1,351.95
437,18,172,2024-12-12,2,275.4
438,24,169,2025-08-13,1,519.02
439,48,199,2025-06-23,2,159.05
440,13,38,2024-06-01,1,558.73
441,16,185,2024-02-15,2,557.87
442,21,109,2025-03-02,5,310.32
443,30,77,2024-02-19,1,596.42
444,10,128,2024-02-17,3,626.34
445,36,156,2023-10-03,1,520.22
446,1,200,2025-05-30,2,377.95
447,2,33,2023-11-11,4,282.18
448,4,64,2024-08-16,4,78.26
449,2,112,2024-04-11,5,286.11
450,49,170,2024-04-22,1,35.98
451,1,158,2025-04-04,3,347.58
452,34,36,2024-04-30,2,43.31
453,48,114,2023-10-22,2,132.72
454,22,145,2024-01-07,1,452.0
455,11,33,2023-11-14,1,795.62
456,25,28,2024-12-09,1,370.11
457,7,129,2024-07-18,2,65.73
458,6,49,2024-04-05,1,210.94
459,27,175,2023-10-06,1,637.1
460,16,179,2025-02-04,3,707.47
461,28,151,2023-11-08,2,396.87
462,33,117,2024-08-16,2,617.24
463,4,140,2024-01-08,3,80.73
464,39,83,2024-03-08,2,476.59
465,43,20,2025-04-02,3,217.79
466,5,85,2024-03-19,4,310.69
467,36,116,2025-02-24,3,428.76
468,23,199,2024-06-04,5,410.47
469,7,170,2024-05-18,5,52.24
470,26,63,2025-01-29,3,584.19
471,8,47,2024-03-11,3,408.78
472,6,121,2025-05-06,4,159.98
473,31,147,2023-11-13,3,652.79
474,25,176,2024-09-03,2,276.21
475,35,6,2024-01-17,2,760.91
476,22,193,2025-01-28,5,468.21
477,15,123,2025-05-21,2,651.23
478,30,26,2025-01-17,5,546.55
479,42,154,2024-04-28,1,239.54
480,11,45,2024-12-27,4,770.59
481,34,184,2025-04-14,1,46.81
482,13,157,2023-10-24,3,583.39
483,35,141,2025-04-15,3,618.02
484,49,134,2025-07-26,1,28.59
485,25,198,2024-04-06,4,327.86
486,3,75,2024-04-06,1,182.48
487,28,195,2024-12-18,5,327.29
488,49,82,2024-08-23,2,33.76
489,30,29,2024-11-10,5,556.22
490,11,186,2024-09-06,1,886.4
491,20,3,2024-11-04,1,604.8
492,37,37,2023-10-20,3,113.34
493,41,162,2024-11-01,4,104.19
494,48,125,2024-07-21,5,123.52
495,21,72,2024-02-02,3,390.76
496,15,100,2024-06-18,1,645.11
497,2,163,2023-12-24,4,207.88
498,32,17,2024-02-12,4,402.62
499,9,179,2024-06-04,2,531.01
500,26,104,2024-06-16,2,742.16
501,43,48,2024-02-04,1,224.81
502,1,15,2025-04-28,4,461.31
503,31,75,2023-12-04,4,623.52
504,27,12,2024-10-06,4,676.43
505,28,50,2024-11-14,4,314.01
506,29,194,2024-06-04,2,837.1
507,25,166,2024-04-03,2,323.08
508,33,18,2025-05-27,1,616.52
509,30,59,2024-11-20,5,617.78
510,29,116,2023-10-17,3,777.59
511,40,137,2023-12-03,1,242.33
512,15,33,2025-06-09,1,633.17
513,50,29,2024-01-15,1,108.93
514,3,94,2024-06-25,5,250.6
515,23,126,2025-04-08,2,450.17
516,32,59,2025-04-21,4,522.3
517,21,148,2025-04-01,1,305.97
518,39,29,2025-07-30,1,462.73
519,34,78,2023-10-16,3,38.17
520,31,154,2023-09-29,5,672.35
521,48,121,2023-12-20,1,128.93
522,31,188,2025-04-28,2,673.45
523,25,2,2024-08-27,5,329.54
524,6,27,2024-05-02,5,206.67
525,46,22,2024-10-02,2,215.49
526,1,162,2024-05-15,4,363.09
527,35,122,2024-02-18,1,678.91
528,30,96,2023-09-12,1,597.9
529,44,123,2023-10-09,3,379.31
530,8,110,2025-05-31,4,443.41
531,7,143,2025-01-06,1,54.63
532,22,158,2025-08-02,3,520.92
533,12,86,2025-05-24,3,39.54
534,25,190,2025-05-14,3,276.15
535,30,71,2025-04-26,2,557.37
536,48,56,2024-02-06,2,132.02
537,1,12,2024-07-16,1,361.36
538,22,103,2024-09-12,5,439.23
539,12,101,2024-07-19,5,42.96
540,17,194,2025-07-03,4,358.53
541,10,106,2024-08-18,3,631.6
542,48,181,2025-08-20,4,136.6
543,8,146,2025-02-24,5,362.72
544,34,145,2024-10-02,1,43.65
545,31,4,2024-02-03,1,770.71
546,3,69,2024-05-04,5,203.12
547,18,62,2024-09-25,1,254.99
548,50,21,2023-10-14,5,131.29
549,29,129,2025-02-26,2,709.0
550,26,188,2024-05-24,2,607.35
551,3,177,2024-05-10,1,197.89
552,24,28,2025-02-01,3,474.62
553,40,47,2025-05-20,2,211.44
554,15,4,2025-02-25,2,482.11
555,8,167,2023-09-09,4,405.75
556,47,139,2024-02-13,5,234.52
557,36,22,2024-12-15,1,594.62
558,27,149,2025-07-17,3,621.19
559,8,136,2025-05-03,2,364.65
560,29,113,2024-12-25,1,645.81
561,31,194,2023-11-05,2,667.03
562,23,112,2025-03-26,5,392.54
563,25,193,2024-11-29,2,330.13
564,15,174,2024-04-27,2,530.35
565,35,8,2024-04-24,3,674.02
566,32,121,2024-08-22,1,513.63
567,12,123,2025-06-16,1,36.98
568,15,34,2024-05-28,4,700.22
569,33,135,2025-06-04,4,556.03
570,20,115,2024-06-03,2,538.82
571,38,43,2024-09-01,5,415.55
572,13,157,2024-02-21,3,465.51
573,38,189,2025-08-14,5,314.33
574,11,129,2025-06-25,4,788.4
575,29,111,2025-04-02,3,654.81
576,36,91,2025-02-27,4,459.75
577,48,13,2025-05-24,3,141.76
578,4,97,2024-04-13,1,99.2
579,5,4,2024-11-27,4,407.32
580,43,92,2024-06-01,2,244.22
581,37,200,2025-07-22,5,134.12
582,3,91,2023-11-14,5,195.5
583,11,137,2024-06-29,4,828.06
584,48,91,2025-02-24,3,147.08
585,8,41,2024-11-27,4,415.45
586,46,64,2025-04-30,4,203.23
587,40,171,2024-09-22,2,223.36
588,44,170,2024-01-11,2,350.58
589,13,20,2025-05-27,5,495.05
590,12,104,2023-11-15,1,42.59
591,1,147,2024-08-24,5,368.69
592,31,153,2024-06-11,4,644.78
593,46,158,2024-01-24,2,182.9
594,26,198,2025-03-05,3,506.56
595,26,175,2025-03-13,1,742.8
596,48,169,2023-11-13,5,112.23
597,18,130,2024-01-23,3,291.66
598,17,171,2025-03-28,3,408.53
599,5,135,2024-11-08,2,367.33
600,25,53,2024-08-28,2,253.88
601,7,107,2023-12-14,3,72.25
602,27,171,2024-12-15,5,611.18
603,5,97,2024-04-03,3,305.21
604,25,59,2024-09-20,5,373.53
605,40,198,2025-05-19,2,249.18
606,11,76,2024-12-12,4,748.11
607,46,47,2025-04-14,3,172.28
608,46,48,2024-12-31,5,206.06
609,46,195,2025-07-07,1,159.83
610,46,161,2024-10-01,1,183.22
611,40,2,2024-08-25,1,223.45
612,18,104,2024-05-02,2,250.36
613,34,191,2024-08-11,2,48.45
614,4,77,2025-02-23,2,73.22
615,34,120,2024-11-14,3,44.83
616,16,98,2025-06-23,5,511.15
617,26,94,2024-01-24,4,526.32
618,43,137,2024-02-13,2,194.73
619,35,73,2025-06-26,1,634.54
620,34,164,2025-06-06,5,44.91
621,14,192,2023-10-31,3,567.87
622,2,44,2024-04-15,2,239.81
623,26,1,2025-07-22,4,639.43
624,29,144,2024-01-13,4,788.68
625,35,161,2025-05-09,5,701.26
626,2,159,2025-07-21,1,277.03
627,37,134,2025-03-31,3,126.58
628,39,146,2025-08-24,5,408.3
629,35,56,2025-06-22,2,534.94
630,26,65,2024-11-26,1,613.34
631,5,82,2025-05-15,1,332.02
632,20,96,2023-10-25,1,594.81
633,22,22,2023-11-03,1,542.51
634,9,178,2025-06-02,5,485.74
635,37,112,2024-10-10,4,124.34
636,24,109,2025-02-14,2,439.3
637,18,72,2024-07-05,1,307.19
638,12,94,2024-02-24,3,30.21
639,46,113,2024-05-22,1,222.42
640,18,50,2023-10-17,1,310.49
641,41,32,2025-07-18,3,107.11
642,47,192,2023-09-17,2,190.2
643,45,37,2024-08-01,2,433.77
644,19,130,2024-02-09,1,398.57
645,50,64,2023-11-14,4,123.33
646,38,80,2025-06-09,2,368.99
647,34,64,2025-08-29,1,48.67
648,19,108,2024-09-27,4,374.3
649,10,135,2024-12-01,5,542.0
650,8,159,2024-06-27,1,387.47
651,27,47,2024-12-18,2,760.07
652,9,152,2024-02-20,2,586.21
653,43,33,2024-04-08,5,214.14
654,5,55,2025-03-29,1,419.49
655,36,84,2025-02-13,5,451.95
656,19,50,2024-02-07,1,318.97
657,12,180,2023-09-08,3,34.98
658,20,50,2025-04-05,5,582.95
659,27,86,2025-07-10,3,727.21
660,36,14,2024-11-22,2,414.98
661,42,132,2025-07-15,5,203.89
662,44,115,2024-12-19,4,306.31
663,32,58,2025-07-12,3,459.8
664,47,180,2024-11-25,2,166.41
665,15,176,2024-12-27,2,522.77
666,19,85,2025-08-13,1,346.56
667,8,23,2023-11-15,5,380.1
668,18,57,2023-11-07,4,338.16
669,20,135,2023-11-29,1,602.41
670,37,55,2023-12-29,2,100.88
671,26,20,2025-06-03,5,534.54
672,45,109,2024-01-02,2,405.53
673,27,9,2023-12-05,2,840.33
674,43,71,2025-02-04,3,229.64
675,16,104,2024-01-04,4,700.0
676,38,47,2024-12-17,2,445.3
677,32,195,2024-12-03,3,429.11
678,17,160,2025-04-22,1,373.47
679,2,172,2025-01-14,5,294.48
680,10,56,2024-11-24,3,561.21
681,18,67,2023-09-21,1,307.68
682,5,138,2024-12-09,1,344.38
683,39,1,2025-08-17,4,510.58
684,36,133,2024-11-28,5,571.03
685,46,82,2024-08-24,2,230.05
686,33,200,2024-06-14,1,602.35
687,7,132,2025-02-17,5,74.3
688,37,145,2025-02-12,1,125.13
689,46,49,2024-10-05,3,186.26
690,7,173,2023-12-27,5,66.4
691,22,7,2024-10-01,5,559.56
692,49,53,2024-06-17,1,28.91
693,36,181,2024-12-25,4,458.0
694,13,134,2024-11-14,5,594.69
695,6,200,2023-11-02,4,203.12
696,36,109,2024-04-27,4,484.73
697,35,58,2023-11-25,4,599.94
698,49,160,2023-09-28,3,28.3
699,15,120,2024-06-17,5,542.88
700,17,44,2023-11-14,2,399.04
701,23,100,2023-09-25,2,429.87
702,4,52,2024-11-30,4,72.46
703,44,200,2025-08-10,2,317.26
704,49,156,2024-05-13,5,36.06
705,16,131,2024-05-29,5,482.36
706,46,99,2023-10-23,2,178.68
707,46,200,2025-05-07,5,166.21
708,25,122,2024-04-20,4,359.71
709,17,130,2024-09-24,4,405.79
710,20,109,2024-11-11,3,475.1
711,4,31,2024-04-28,5,89.43
712,34,58,2023-12-17,2,40.99
713,1,136,2023-09-26,4,492.44
714,4,90,2025-06-04,3,84.12
715,21,1,2025-01-05,1,362.61
716,45,185,2024-03-07,4,480.26
717,30,133,2025-01-24,5,542.27
718,6,58,2025-07-17,2,212.91
719,24,134,2023-10-15,5,380.32
720,24,105,2025-03-15,5,447.31
721,14,144,2025-05-02,3,532.02
722,36,127,2023-11-25,4,423.79
723,3,72,2024-06-02,5,247.3
724,28,50,2024-07-03,2,412.15
725,18,98,2023-09-06,2,287.95
726,29,139,2024-06-18,4,754.01
727,36,47,2023-09-21,1,481.42
728,33,35,2024-01-23,3,540.09
729,25,40,2024-12-10,1,350.97
730,22,137,2025-04-19,4,586.56
731,22,64,2024-11-08,4,579.0
732,9,5,2025-06-28,1,647.48
733,9,139,2025-06-15,2,510.14
